Year,Age Group, Total ('000) , Male ('000) , Female ('000) 
2000, 0 - 4,"2,833.40","1,459.50","1,373.90"
2000, 5 - 9,"2,646.00","1,365.10","1,280.90"
2000, 10 - 14,"2,523.70","1,288.40","1,235.20"
2000, 15 - 19,"2,335.70","1,184.60","1,151.10"
2000, 20 - 24,"2,088.50","1,054.70","1,033.80"
2000, 25 - 29,"1,919.50",968.6,950.9
2000, 30 - 34,"1,837.10",931.8,905.3
2000, 35 - 39,"1,668.20",850.2,818
2000, 40 - 44,"1,451.00",746,705
2000, 45 - 49,"1,205.10",623.4,581.7
2000, 50 - 54,877.7,458.3,419.4
2000, 55 - 59,657.9,342.1,315.9
2000, 60 - 64,519.3,257.7,261.6
2000, 65 - 69,378.3,181.6,196.7
2000, 70 - 74,264.2,125.9,138.3
2000, 75 - 79,142.7,66.1,76.6
2000, 80 - 84,87.9,37.5,50.4
2000, 85+,58.8,24.3,34.5
2001, 0 - 4,"2,801.20","1,441.60","1,359.70"
2001, 5 - 9,"2,685.80","1,386.00","1,299.70"
2001, 10 - 14,"2,586.80","1,324.60","1,262.20"
2001, 15 - 19,"2,428.00","1,238.80","1,189.20"
2001, 20 - 24,"2,149.20","1,092.40","1,056.80"
2001, 25 - 29,"1,948.10",986.2,961.9
2001, 30 - 34,"1,854.00",939.6,914.5
2001, 35 - 39,"1,702.60",868.3,834.3
2001, 40 - 44,"1,490.60",765.8,724.8
2001, 45 - 49,"1,250.10",645.8,604.3
2001, 50 - 54,934.2,486,448.2
2001, 55 - 59,684.9,356.6,328.3
2001, 60 - 64,537.7,269.3,268.5
2001, 65 - 69,392.5,189.1,203.4
2001, 70 - 74,275.7,130.7,145.1
2001, 75 - 79,152.8,70.8,82.1
2001, 80 - 84,88.6,38,50.6
2001, 85+,67.7,28,39.7
2002, 0 - 4,"2,742.40","1,410.60","1,331.80"
2002, 5 - 9,"2,714.70","1,400.30","1,314.30"
2002, 10 - 14,"2,640.40","1,354.80","1,285.60"
2002, 15 - 19,"2,516.30","1,289.20","1,227.10"
2002, 20 - 24,"2,231.00","1,141.60","1,089.40"
2002, 25 - 29,"1,981.60","1,008.10",973.5
2002, 30 - 34,"1,869.40",947.3,922.1
2002, 35 - 39,"1,735.40",884.8,850.6
2002, 40 - 44,"1,530.70",786.3,744.4
2002, 45 - 49,"1,291.10",666.2,624.8
2002, 50 - 54,992.7,514.8,477.9
2002, 55 - 59,718.2,373.5,344.6
2002, 60 - 64,553.8,279.9,273.9
2002, 65 - 69,411,199,212.1
2002, 70 - 74,284.7,134.4,150.4
2002, 75 - 79,166.6,77.1,89.5
2002, 80 - 84,87.8,37.9,49.8
2002, 85+,74.8,31.1,43.6
2003, 0 - 4,"2,668.80","1,372.90","1,295.90"
2003, 5 - 9,"2,733.00","1,408.20","1,324.80"
2003, 10 - 14,"2,684.80","1,379.60","1,305.20"
2003, 15 - 19,"2,594.10","1,331.80","1,262.30"
2003, 20 - 24,"2,334.20","1,202.00","1,132.20"
2003, 25 - 29,"2,019.90","1,034.00",985.9
2003, 30 - 34,"1,886.90",957.7,929.3
2003, 35 - 39,"1,765.60",898.9,866.8
2003, 40 - 44,"1,570.50",807.5,762.9
