Year,Age Group, Total ('000) , Male ('000) , Female ('000) 
1980, 0 - 4,1979.2,1015.2,963.9
1980, 5 - 9,1844.2,942.6,901.5
1980, 10 - 14,1719.1,876.3,842.8
1980, 15 - 19,1576.5,784.5,792
1980, 20 - 24,1355.2,661.2,693.9
1980, 25 - 29,1118.2,553.2,565
1980, 30 - 34,901.2,456,445.2
1980, 35 - 39,729.9,374.6,355.3
1980, 40 - 44,613.2,313.1,300.1
1980, 45 - 49,516.1,259,257.1
1980, 50 - 54,424.5,210.5,214
1980, 55 - 59,342.5,169.5,173.1
1980, 60 - 64,268.4,133.2,135.2
1980, 65 - 69,200.1,100,100.1
1980, 70+,138.3,69.7,68.6
1980, 75 - 79,83,42.5,40.5
1980, 80+,69.8,30.8,38.9
1981, 0 - 4,2032.4,1042.9,989.5
1981, 5 - 9,1854.3,946.8,907.6
1981, 10 - 14,1735.2,884.2,851
1981, 15 - 19,1619.8,813.6,806.2
1981, 20 - 24,1403.3,687.4,715.9
1981, 25 - 29,1176.9,581.7,595.3
1981, 30 - 34,940.6,475,465.7
1981, 35 - 39,755.4,387.8,367.6
1981, 40 - 44,632.9,324.1,308.7
1981, 45 - 49,532.8,268.2,264.6
1981, 50 - 54,437.1,216.9,220.3
1981, 55 - 59,351.8,173.7,178
1981, 60 - 64,275.5,136.2,139.4
1981, 65 - 69,205.2,102.1,103
1981, 70+,142.5,71,71.5
1981, 75 - 79,87.6,44.2,43.4
1981, 80+,73.6,33,40.7
1982, 0 - 4,2079.2,1068.2,1011
1982, 5 - 9,1887.6,963.3,924.3
1982, 10 - 14,1756.9,894.5,862.4
1982, 15 - 19,1647.5,832.5,815
1982, 20 - 24,1456,716.8,739.2
1982, 25 - 29,1225.6,605.9,619.8
1982, 30 - 34,988.4,498,490.4
1982, 35 - 39,784.5,402.6,381.8
1982, 40 - 44,652.7,335.1,317.6
1982, 45 - 49,550.5,278,272.5
1982, 50 - 54,450.6,223.8,226.9
1982, 55 - 59,361.6,178.4,183.1
1982, 60 - 64,282.9,139.3,143.6
1982, 65 - 69,211.1,104.7,106.4
1982, 70+,146,72,73.9
1982, 75 - 79,91.8,45.6,46.2
1982, 80+,78.2,35.3,42.9
1983, 0 - 4,2147.7,1104.2,1043.6
1983, 5 - 9,1907.8,973.8,934
1983, 10 - 14,1763.3,897.5,865.8
1983, 15 - 19,1678.3,850.2,828.1
1983, 20 - 24,1507.6,747.3,760.3
1983, 25 - 29,1274.4,630.4,644
1983, 30 - 34,1038.1,522.2,515.9
1983, 35 - 39,819.4,419.7,399.6
1983, 40 - 44,674,346.5,327.5
1983, 45 - 49,567.8,287.9,279.9
1983, 50 - 54,464.9,231.5,233.4
1983, 55 - 59,371.8,183.4,188.4
1983, 60 - 64,289.8,142.2,147.7
1983, 65 - 69,215.6,106.4,109.2
1983, 70+,150.5,73.7,76.7
1983, 75 - 79,95,46.6,48.5
1983, 80+,82.2,37.1,45.1
1984, 0 - 4,2202.9,1134,1068.9
1984, 5 - 9,1942.2,991.8,950.5
1984, 10 - 14,1788.7,910.4,878.3
1984, 15 - 19,1687,854.9,832.1
1984, 20 - 24,1558.5,777.2,781.2
